날짜,거래처,상품명,카테고리,수량,단가,매출,결제상태,담당영업
2025-01-06,삼성전자,클라우드 라이선스,SaaS,10,2000000,20000000,완료,박팀장
2025-01-10,LG CNS,API 연동 서비스,개발,1,5000000,5000000,완료,이과장
2025-01-15,네이버,데이터 분석 리포트,컨설팅,2,1500000,3000000,완료,이과장
2025-01-20,SK텔레콤,AI 컨설팅,컨설팅,1,4000000,4000000,완료,박팀장
2025-01-25,현대오토에버,시스템 유지보수,유지보수,1,3000000,3000000,완료,최대리
2025-01-28,카카오,데이터 파이프라인 설계,개발,1,6000000,6000000,완료,박팀장
2025-02-03,삼성전자,클라우드 라이선스,SaaS,5,2000000,10000000,완료,박팀장
2025-02-07,쿠팡,물류 자동화 모듈 1차,개발,1,12000000,12000000,완료,이과장
2025-02-10,네이버,데이터 분석 리포트,컨설팅,3,1500000,4500000,완료,이과장
2025-02-14,LG CNS,보안 솔루션,보안,1,7000000,7000000,완료,최대리
2025-02-18,토스,결제 연동 API 설계,개발,1,3000000,3000000,완료,박팀장
2025-02-22,SK텔레콤,AI 컨설팅 2차,컨설팅,2,4000000,8000000,완료,박팀장
2025-02-25,현대오토에버,시스템 유지보수,유지보수,1,3000000,3000000,완료,최대리
2025-03-03,삼성전자,클라우드 라이선스,SaaS,5,2000000,10000000,완료,박팀장
2025-03-05,LG CNS,API 연동 서비스,개발,1,5000000,5000000,완료,이과장
2025-03-07,네이버,데이터 분석 리포트,컨설팅,3,1500000,4500000,완료,이과장
2025-03-10,카카오,챗봇 구축 프로젝트,개발,1,8000000,8000000,진행중,박팀장
2025-03-12,현대오토에버,시스템 유지보수,유지보수,1,3000000,3000000,완료,최대리
2025-03-15,SK텔레콤,AI 컨설팅 3차,컨설팅,2,4000000,8000000,진행중,박팀장
2025-03-17,삼성전자,추가 라이선스,SaaS,3,2000000,6000000,완료,박팀장
2025-03-20,쿠팡,물류 자동화 모듈 2차,개발,1,12000000,12000000,진행중,이과장
2025-03-22,네이버,데이터 분석 리포트,컨설팅,2,1500000,3000000,완료,이과장
2025-03-25,LG CNS,보안 솔루션 업그레이드,보안,1,7000000,7000000,미수금,최대리
2025-03-28,토스,결제 연동 API 개발,개발,1,6000000,6000000,진행중,박팀장
2025-03-30,배달의민족,주문 데이터 분석,컨설팅,1,5000000,5000000,미수금,이과장
